file_name,observer_name,type_grating,spatial_frequency,contrast_level,rgb_min,rgb_max,scase1_reversals,scase2_reversals
mj SCSF 17.txt,mj,Equiluminance,0.631,100.0,"[0, 211, 0]","[700, 0, 0]","[12.589, 50.118, 1.5848, 2.2387, 1.122, 2.2387, 1.122, 1.5848, 0.28183, 0.3981, 0.19952, 1.122]","[0.79432, 3.1622, 1.122, 1.5848, 1.122, 1.5848, 1.122, 2.2387, 1.122, 1.5848, 1.122, 1.5848]"
kh SCSF 67.txt,kh,Equiluminance,1.585,100.0,"[0, 0]","[705, 0, 0]","[50.118, 12.589, 25.118, 17.782, 35.481, 25.118, 35.481, 25.118, 35.481, 25.118, 35.481, 17.782]","[50.118, 12.589, 35.481, 17.782, 35.481, 25.118, 35.481, 17.782, 35.481, 25.118, 35.481, 25.118]"
mj SCSF 73.txt,mj,Compound,0.398,100.0,"[0, 0, 0]","[700, 211, 0]","[6.3095, 25.118, 1.5848, 2.2387, 0.56234, 0.79432, 0.3981, 0.79432, 0.56234, 0.79432, 0.3981, 0.79432]","[3.1622, 12.589, 6.3095, 8.9125, 0.56234, 0.79432, 0.56234, 0.79432, 0.56234, 1.122, 0.56234, 1.122]"
re SCSF 198.txt,re,Compound,0.631,100.0,"[0, 0, 0]","[1000, 152, 0]","[1.5848, 3.1622, 1.122, 2.2387, 1.5848, 2.2387, 1.122, 3.1622, 1.122, 1.5848, 1.122, 2.2387]","[1.5848, 12.589, 1.5848, 2.2387, 1.122, 1.5848, 1.122, 2.2387, 1.5848, 4.4668, 3.1622, 4.4668]"
re SCSF 153.txt,re,Compound,1.585,100.0,"[0, 0, 0]","[1000, 152, 0]","[0.79432, 3.1622, 2.2387, 4.4668, 3.1622, 8.9125, 1.122, 2.2387, 0.79432, 1.122, 0.79432, 1.5848]","[1.5848, 6.3095, 3.1622, 4.4668, 3.1622, 6.3095, 2.2387, 4.4668, 1.5848, 3.1622, 1.122, 1.5848]"
re SCSF 83.txt,re,Compound,0.1,100.0,"[0, 0, 0]","[705, 107, 0]","[0.3981, 0.79432, 0.28183, 0.79432, 0.3981, 0.79432, 0.28183, 0.79432, 0.28183, 0.79432, 0.3981, 0.56234]","[0.3981, 0.79432, 0.3981, 0.56234, 0.28183, 0.56234, 0.3981, 0.56234, 0.3981, 0.56234, 0.3981, 1.122]"
kh SCSF 64.txt,kh,Compound,0.631,100.0,"[0, 0, 0]","[705, 200, 0]","[12.589, 25.118, 3.1622, 4.4668, 2.2387, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622]","[50.118, 6.3095, 8.9125, 4.4668, 8.9125, 4.4668, 8.9125, 6.3095, 8.9125, 3.1622, 6.3095, 3.1622]"
re SCSF 48.txt,re,Compound,0.158,100.0,"[0, 0, 0]","[705, 107, 0]","[0.19952, 1.5848, 0.3981, 0.79432, 0.3981, 0.79432, 0.3981, 0.56234, 0.28183, 0.56234, 0.3981, 0.79432]","[0.3981, 0.79432, 0.28183, 0.79432, 0.3981, 1.122, 0.79432, 1.122, 0.56234, 1.122, 0.56234, 1.122]"
re SCSF 171.txt,re,Compound,1.585,100.0,"[0, 0, 0]","[1000, 152, 0]","[0.79432, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622, 1.5848, 2.2387, 1.5848, 2.2387, 1.5848, 3.1622]","[1.5848, 3.1622, 2.2387, 6.3095, 2.2387, 3.1622, 1.5848, 2.2387, 1.5848, 2.2387, 1.5848, 2.2387]"
re SCSF 32.txt,re,Equiluminance,0.398,100.0,"[0, 107, 0]","[705, 0, 0]","[1.5848, 6.3095, 3.1622, 6.3095, 3.1622, 4.4668, 3.1622, 4.4668, 2.2387, 4.4668, 3.1622, 4.4668]","[0.79432, 3.1622, 2.2387, 3.1622, 2.2387, 3.1622, 1.5848, 3.1622, 1.5848, 2.2387, 1.122, 3.1622]"
