time	marker	pupilArea	pupilDiam	pupilDiam_mm	centroid.x	centroid.y	rect.w	rect.h	huMoments[0]
0	0	12484	126.076	6.1969	247	98	150	105	0.169599
0.0333333	0	12484	126.076	6.1969	247	98	150	105	0.169599
0.0666667	0	12722	127.272	6.25569	247	98	153	107	0.17104
0.1	0	12722	127.272	6.25569	247	98	153	107	0.17104
0.133333	0	12943	128.373	6.30979	247	98	154	112	0.171405
0.166667	0	12946	128.388	6.31052	247	98	154	112	0.171427
0.2	0	12946	128.388	6.31052	247	98	154	112	0.171427
0.233333	0	12946	128.388	6.31052	247	98	154	112	0.171427
0.266667	0	13158	129.435	6.36198	248	99	155	111	0.171539
0.3	0	13096	129.129	6.34698	248	99	155	111	0.172554
0.333333	0	13096	129.129	6.34698	248	99	155	111	0.172554
0.366667	0	13215	129.715	6.37575	248	100	156	114	0.172452
0.4	0	13208	129.68	6.37406	248	100	156	114	0.172467
0.433333	0	13208	129.68	6.37406	248	100	156	114	0.172467
0.466667	0	13236	129.818	6.38081	248	99	156	113	0.172786
0.5	0	13237	129.823	6.38105	248	99	156	113	0.172781
0.533333	0	13237	129.823	6.38105	248	99	156	113	0.172781
0.566667	0	13302	130.141	6.3967	249	100	157	115	0.174104
0.6	0	13304	130.151	6.39718	249	100	157	115	0.174108
0.633333	0	13304	130.151	6.39718	249	100	157	115	0.174108
0.666667	0	13223	129.754	6.37768	249	100	157	113	0.175389
0.7	0	13224	129.759	6.37792	249	100	157	113	0.175372
0.733333	0	13224	129.759	6.37792	249	100	157	113	0.175372
0.766667	0	13341	130.332	6.40607	249	100	158	113	0.174382
0.8	0	13348	130.366	6.40775	249	100	158	113	0.174358
0.833333	0	13348	130.366	6.40775	249	100	158	113	0.174358
0.866667	0	13364	130.444	6.41159	250	100	157	111	0.172363
0.9	0	13366	130.454	6.41207	250	100	157	111	0.172377
0.933333	0	13366	130.454	6.41207	250	100	157	111	0.172377
0.966667	0	13437	130.8	6.42908	249	100	158	112	0.172783
1	0	13437	130.8	6.42908	249	100	158	112	0.172786
1.03333	0	13437	130.8	6.42908	249	100	158	112	0.172786
1.06667	0	13289	130.077	6.39357	249	101	157	110	0.174448
1.1	0	13297	130.116	6.3955	249	101	157	110	0.174383
1.13333	0	13297	130.116	6.3955	249	101	157	110	0.174383
1.16667	0	13374	130.493	6.41399	249	101	159	111	0.174612
1.2	0	13375	130.497	6.41423	249	101	159	111	0.174618
1.23333	0	13375	130.497	6.41423	249	101	159	111	0.174618
1.26667	0	13437	130.8	6.42908	250	102	159	112	0.174953
1.3	0	13437	130.8	6.42908	250	102	159	112	0.174953
1.33333	0	13437	130.8	6.42908	250	102	159	112	0.174953
1.36667	0	13731	132.223	6.49903	250	102	160	113	0.173475
1.4	0	13730	132.218	6.49879	250	102	160	113	0.17348
1.43333	0	13721	132.175	6.49666	250	102	160	113	0.173536
1.46667	0	13898	133.024	6.53843	251	102	161	114	0.17281
1.5	0	13898	133.024	6.53843	251	102	161	114	0.17281
1.53333	0	13898	133.024	6.53843	251	102	161	114	0.17281
1.56667	0	13904	133.053	6.53984	251	103	159	115	0.172333
1.6	0	13904	133.053	6.53984	251	103	159	115	0.172331
1.63333	0	13904	133.053	6.53984	251	103	159	115	0.172331
1.66667	0	13954	133.292	6.55159	251	103	160	115	0.172516
1.7	0	13954	133.292	6.55159	251	103	160	115	0.172516
1.73333	0	13954	133.292	6.55159	251	103	160	115	0.172516
1.76667	0	13809	132.598	6.51746	252	103	160	115	0.175122
1.8	0	13812	132.612	6.51817	252	103	160	115	0.175108
1.83333	0	14155	134.249	6.59861	251	102	162	114	0.171566
1.86667	0	14155	134.249	6.59861	251	102	162	114	0.171561
1.9	0	14155	134.249	6.59861	251	102	162	114	0.171561
1.93333	0	14155	134.249	6.59861	251	102	162	114	0.171561
1.96667	0	14221	134.561	6.61398	251	102	161	117	0.170812
2	0	14215	134.533	6.61258	251	102	161	117	0.170804
2.03333	0	14222	134.566	6.61421	252	102	161	117	0.170781
2.06667	0	14288	134.878	6.62954	251	101	162	116	0.171348
2.1	0	14294	134.906	6.63093	251	101	162	116	0.171292
2.13333	0	14378	135.302	6.65039	252	101	163	118	0.171836
2.16667	0	14372	135.274	6.649	252	101	163	118	0.17187
2.2	0	14373	135.279	6.64923	252	101	163	118	0.171872
2.23333	0	14373	135.279	6.64923	252	101	163	118	0.171872
2.26667	0	14404	135.424	6.6564	252	102	162	116	0.172539
2.3	0	14404	135.424	6.6564	252	102	162	116	0.172539
2.33333	0	14404	135.424	6.6564	252	102	162	116	0.172539
2.36667	0	14325	135.052	6.63812	252	102	163	115	0.174875
2.4	0	14325	135.052	6.63812	252	102	163	115	0.174875
2.43333	0	14325	135.052	6.63812	252	102	163	115	0.174875
2.46667	0	14613	136.403	6.70451	253	102	164	116	0.172056
2.5	0	14615	136.413	6.70497	253	102	164	116	0.172059
2.53333	0	14615	136.413	6.70497	253	102	164	116	0.172059
2.56667	0	14588	136.287	6.69878	253	102	163	117	0.172484
2.6	0	14577	136.235	6.69625	253	102	163	116	0.172563
2.63333	0	14577	136.235	6.69625	253	102	163	116	0.172563
2.66667	0	14684	136.734	6.72078	253	102	164	117	0.172054
2.7	0	14684	136.734	6.72078	253	102	164	117	0.172054
2.73333	0	14644	136.548	6.71162	253	102	165	118	0.172618
2.76667	0	14643	136.543	6.71139	253	102	165	118	0.172613
2.8	0	14643	136.543	6.71139	253	102	165	118	0.172613
2.83333	0	14440	135.593	6.66471	254	103	164	115	0.174512
2.86667	0	14440	135.593	6.66471	254	103	164	115	0.174512
2.9	0	14440	135.593	6.66471	254	103	164	115	0.174512
2.93333	0	14689	136.758	6.72193	253	102	164	119	0.171304
2.96667	0	14689	136.758	6.72193	253	102	164	119	0.171304
3	0	14689	136.758	6.72193	253	102	164	119	0.171304
3.03333	0	14689	136.758	6.72193	253	102	164	119	0.171304
3.06667	0	14557	136.142	6.69165	254	103	164	119	0.172338
3.1	0	14554	136.128	6.69096	254	103	164	119	0.172359
3.13333	0	14568	136.193	6.69418	253	103	164	118	0.17237
3.16667	0	14568	136.193	6.69418	253	103	164	118	0.17237
3.2	0	14568	136.193	6.69418	253	103	164	118	0.17237
3.23333	0	14735	136.972	6.73244	253	102	164	116	0.17059
3.26667	0	14738	136.985	6.73313	253	102	164	116	0.170603
3.3	0	14738	136.985	6.73313	253	102	164	116	0.170603
3.33333	0	14679	136.711	6.71964	253	103	164	118	0.171727
3.36667	0	14683	136.73	6.72055	254	103	164	118	0.171699
3.4	0	14683	136.73	6.72055	254	103	164	118	0.171699
3.43333	0	14683	136.73	6.72055	254	103	164	118	0.171699
3.46667	0	14680	136.716	6.71987	254	103	165	118	0.172566
3.5	0	14681	136.72	6.72009	254	103	165	118	0.172573
3.53333	0	14681	136.72	6.72009	254	103	165	118	0.172573
