Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8
1	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_110R_crop_8000,-15.00,0.00,175,175)	pic(DBear_brooch58,0.00,15.00,175,175)	pic(DBear_receive6,0.00,-15.00,175,175)	pic(DBear_briefc55,15.00,0.00,175,175)
2	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_110R_crop_8000,0.00,-15.00,175,175)	pic(DBear_cushio91,15.00,0.00,175,175)	pic(DBear_snaptur3,-15.00,0.00,175,175)	pic(DBear_bluecan7,0.00,15.00,175,175)
3	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_20R_crop_8000,15.00,0.00,175,175)	pic(DBear_duster17,-15.00,0.00,175,175)	pic(DBear_bakingp6,0.00,15.00,175,175)	pic(DBear_laptop,0.00,-15.00,175,175)
4	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_110R_crop_8000,0.00,-15.00,175,175)	pic(DBear_rollinpi,15.00,0.00,175,175)	pic(DBear_icebucke,0.00,15.00,175,175)	pic(DBear_turkey10,-15.00,0.00,175,175)
5	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_212R_crop_8000,0.00,-15.00,175,175)	pic(DBear_casket2,15.00,0.00,175,175)	pic(DBear_dressho4,0.00,15.00,175,175)	pic(DBear_deskla40,-15.00,0.00,175,175)
6	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_110R_crop_8000,15.00,0.00,175,175)	pic(DBear_casket2,0.00,15.00,175,175)	pic(DBear_trunk27,0.00,-15.00,175,175)	pic(DBear_scale36,-15.00,0.00,175,175)
7	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_212R_crop_8000,15.00,0.00,175,175)	pic(DBear_tabllam2,0.00,-15.00,175,175)	pic(DBear_cushio91,0.00,15.00,175,175)	pic(DBear_lionwalk,-15.00,0.00,175,175)
8	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_212R_crop_8000,15.00,0.00,175,175)	pic(DBear_bracel31,0.00,-15.00,175,175)	pic(DBear_footst13,0.00,15.00,175,175)	pic(DBear_citroen6,-15.00,0.00,175,175)
9	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_20R_crop_8000,-15.00,0.00,175,175)	pic(DBear_parrot4,15.00,0.00,175,175)	pic(DBear_painted7,0.00,15.00,175,175)	pic(DBear_cookpo22,0.00,-15.00,175,175)
10	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_165R_crop_8000,0.00,15.00,175,175)	pic(DBear_hyponee4,-15.00,0.00,175,175)	pic(DBear_trophy11,0.00,-15.00,175,175)	pic(DBear_Chinfig5,15.00,0.00,175,175)
